id,plant_name,au_hardiness_zone,sow_to_seedling,seedling_to_harvest,harvest_window,watering_frequency,key_activities,created_at,growth_multiplier,extra_care,updated_at,plant_category,climate_note,unsuitable_zone
0369f49a-a366-4388-bbc9-6fb23fd07329,Rocket,8a,7,28,21,3,"[{""timing"":10,""activity"":""Begin harvesting at 10cm height"",""details"":""Cut leaves with scissors 3-4cm above soil when plants reach 10cm. The plant regrows from the cut base 2-3 times before bolting. In cool zones, a single sowing can produce for 4-6 weeks."",""category"":""harvest""},{""timing"":21,""activity"":""Check for bolting — remove or allow to set seed"",""details"":""Once flower stalks emerge, leaves become intensely peppery (nearly inedible). Remove bolting plants immediately and resow. Alternatively, allow some to flower and set seed — the seed self-sows readily and produces the next crop."",""category"":""pruning""}]",2026-05-20 05:31:25.366789,1.05,Excellent cool-season salad — nearly year-round in zone 8,2026-05-20 05:31:25.366789+00,annual_vegetable,"Fast-growing salad leaf. Bolts in heat producing very pungent, almost inedible leaves. Succession sow every 10-14 days. Wild rocket (Diplotaxis) is more heat-tolerant than common rocket (Eruca).",False
0408a036-2de1-41a9-bc81-b1ccf1d26de7,Silverbeet,10b,10,55,120,3,"[{""timing"":30,""activity"":""Begin harvesting outer leaves — cut-and-come-again"",""details"":""Harvest outer leaves only. In zone 10 with year-round warmth, a single plant produces for 12+ months with cut-and-come-again management."",""category"":""harvest""},{""timing"":42,""activity"":""Apply liquid fertiliser (1 of 3)"",""details"":""Blood and bone at 80g/m² at planting. Monthly liquid fish emulsion maintains production. Zone 10 silverbeet grows vigorously — consistent feeding sustains this."",""category"":""fertilizing""},{""timing"":70,""activity"":""Apply liquid fertiliser (2 of 3)"",""details"":""Blood and bone at 80g/m² at planting. Monthly liquid fish emulsion maintains production. Zone 10 silverbeet grows vigorously — consistent feeding sustains this."",""category"":""fertilizing""},{""timing"":90,""activity"":""Replace at first bolt"",""details"":""Remove and replace at first sign of a central flower stalk. Zone 10 silverbeet can bolt year-round in very hot conditions — succession sow a new row every 3-4 months to maintain continuous supply."",""category"":""planting""},{""timing"":98,""activity"":""Apply liquid fertiliser (3 of 3)"",""details"":""Blood and bone at 80g/m² at planting. Monthly liquid fish emulsion maintains production. Zone 10 silverbeet grows vigorously — consistent feeding sustains this."",""category"":""fertilizing""}]",2026-05-20 05:31:22.839187,1.0,Year-round production,2026-05-20 05:31:22.839187+00,annual_vegetable,One of the most productive and adaptable vegetables. Cut-and-come-again: always harvest outer leaves only. More heat-tolerant than spinach.,False
043ec093-9a3c-47d5-8362-324202251399,Orange,10a,365,1095,90,7,"[{""timing"":365,""activity"":""Prune following harvest completion"",""details"":""After fruit removal, thin the canopy to improve airflow. Remove water shoots (vigorous vertical epicormic growth from scaffold branches) — they rarely fruit and shade productive outer branches."",""category"":""pruning""},{""timing"":1095,""activity"":""Harvest when fully coloured and sweet"",""details"":""Navels ripen June-September. Valencia ripens October-January. In zone 10, flavour is excellent due to the combination of warm summer growth and cool winter ripening. Orange can hold on tree 2-3 months after maturity."",""category"":""harvest""}]",2026-05-20 05:32:35.876234,1.1,Premium orange zone — excellent flavour with cool nights,2026-05-20 05:32:35.876234+00,perennial_tree,Cool nights in winter are needed for the best flavour (sugar-acid balance). Valencia ripens later than Navel and is the best variety for warm zones.,False
044de0ae-3eeb-462b-99a8-70ae87386569,Capsicum,9b,14,90,60,3,"[{""timing"":45,""activity"":""Stake and support plants"",""details"":""In cool zones wind can be damaging. Stake each plant to a 60cm stake at transplant. Apply potassium-rich fertiliser (sulphate of potash at 40g/m²) at flowering — potassium drives fruit development."",""category"":""fertilizing""},{""timing"":100,""activity"":""Harvest green or wait for full colour"",""details"":""In cool zones the season may end before capsicum fully ripen. Harvest green if frost threatens. Red capsicum is the same fruit — simply allowed to fully ripen — and is sweeter with higher vitamin C."",""category"":""harvest""}]",2026-05-20 05:30:15.013837,0.95,Start indoors in September for November transplant,2026-05-20 05:30:15.013837+00,annual_vegetable,Warm-season crop. Needs 10°C+ at all times. Pick red for full sweetness — green capsicum is simply unripe.,False
0455aaec-158f-4603-a713-90651ea6e27e,Cardoon,8b,21,180,60,3,"[{""timing"":30,""activity"":""Apply fertiliser"",""details"":""Apply complete fertiliser at 150g per plant at establishment. Side-dress with blood and bone monthly through the growing season. Cardoon grows rapidly with adequate nutrition."",""category"":""fertilizing""},{""timing"":120,""activity"":""Blanch stalks for eating — 3-4 weeks before harvest"",""details"":""In late summer-autumn, tie the leaves together in a bundle around each plant and wrap with cardboard, hessian or black plastic to exclude all light. Leave for 3-4 weeks. This blanching process renders the otherwise bitter stalks pale, tender and mild."",""category"":""planting""},{""timing"":150,""activity"":""Check blanching progress"",""details"":""After 3 weeks, peek inside the wrapping — the inner stalks should be pale yellow-white. If still green, wrap for another week. The outer stalks may still be bitter — focus on the inner pale stalks."",""category"":""planting""},{""timing"":180,""activity"":""Harvest by cutting plant at base"",""details"":""Cut the entire plant at ground level. Remove and discard the outer green leaves. The pale inner stalks are the edible portion — trim to 30-40cm lengths. Use immediately or refrigerate."",""category"":""harvest""}]",2026-05-20 05:32:23.09795,1.05,Very good production,2026-05-20 05:32:23.09795+00,perennial_vegetable,"Globe artichoke relative grown for the blanched leaf stalks (not the buds). Requires blanching (excluding light for 3-4 weeks) to produce edible, mild-flavoured stalks.",False
0468ffa0-f5a5-48c9-b6e2-2f03c60b322d,Carrots,8b,14,75,21,3,"[{""timing"":21,""activity"":""Thin ruthlessly to 5cm spacing"",""details"":""This is the step gardeners most often skip and most regret. Crowded carrots fork and stay small. Thin in two stages: first to 3cm at 3 weeks, then to 5-8cm at 5 weeks. Thinnings are edible."",""category"":""planting""},{""timing"":55,""activity"":""Check progress by brushing away soil"",""details"":""Brush soil from the top of the root at 8-9 weeks. When the shoulder (top of root) reaches 1.5-2cm diameter, full-size roots are approaching maturity. Do not leave in the ground too long — oversize roots become woody."",""category"":""harvest""},{""timing"":75,""activity"":""Harvest after cold for best flavour"",""details"":""Cold temperatures convert carrot starch to sugar — autumn and winter carrots in cool zones are the sweetest. Pull by twisting and pulling steadily, or loosen soil with a fork first to avoid breaking roots."",""category"":""harvest""}]",2026-05-20 02:37:16.231057,1.05,Spring and autumn sowing,2026-05-20 02:37:16.231057+00,annual_vegetable,"Direct sow — resent transplanting. Deep, loose, stone-free soil essential. Cold improves sweetness (converts starch to sugar).",False
04bc29c8-275b-48f6-bc3a-ee2ec74b885a,Snow Peas,12b,10,65,30,3,"[{""timing"":10,""activity"":""Trellis and shade cloth"",""details"":""Adapted for zone 12b (Not recommended). Erect 1.2m trellis. 30% shade cloth above can reduce heat stress on flowering plants in marginal cool-season conditions."",""category"":""planting""},{""timing"":28,""activity"":""Apply potassium at first flower"",""details"":""Adapted for zone 12b (Not recommended). Sulphate of potash at 20g/m² at first flower. No nitrogen."",""category"":""fertilizing""},{""timing"":50,""activity"":""Begin harvesting young pods every 1–2 days"",""details"":""Adapted for zone 12b (Not recommended). In subtropical zones harvest snow peas very young (the pod is barely full width) and very frequently. Heat causes rapid pod filling and quality drop."",""category"":""harvest""}]",2026-05-20 05:30:26.218387,0.75,Not recommended,2026-05-20 05:30:26.218387+00,annual_vegetable,Flat edible-pod peas. Direct sow — resent transplanting. Harvest before seeds develop inside the pod. Inoculate with rhizobium.,False
04bdeac4-5e1e-43d1-a9ee-cdf70a8d04f1,Fennel,12b,10,70,21,3,"[{""timing"":14,""activity"":""Provide afternoon shade"",""details"":""Shade significantly extends the bolt-free window in subtropical conditions. Sow on the south side of taller plants."",""category"":""planting""},{""timing"":45,""activity"":""Harvest fronds young — before bolting"",""details"":""In warm zones harvest fennel fronds early and continuously from young plants. Expect bolting regardless of management after 6-8 weeks. Once bolt begins, the fronds lose their fresh anise flavour."",""category"":""harvest""},{""timing"":60,""activity"":""Check plant for bolting (consider leaving for seed harvest)"",""details"":""If fennel bolts (inevitable in warm zones), allow it to flower and set seed. Collect dried seed heads in paper bags — fennel seed is a valuable kitchen spice."",""category"":""harvest""}]",2026-05-20 05:31:37.347977,0.75,Very limited success,2026-05-20 05:31:37.347977+00,annual_vegetable,Florence fennel (bulb type) is grown for the swollen stem base. Herb fennel is more adaptable. Both bolt readily in heat. Do not plant near dill or coriander — cross-pollination affects flavour.,False
04cc8e69-115b-411b-879a-d0c819d3b743,Eggplant,9b,21,70,60,3,"[{""timing"":45,""activity"":""Stake and apply potassium"",""details"":""Eggplant develops to 80-100cm and branches heavily when fruiting. Stake each plant with a 1m stake. Apply sulphate of potash at 40g/m² at first flower. In cool zones, maximise nutrient support to make the most of the short season."",""category"":""fertilizing""},{""timing"":70,""activity"":""Harvest before seeds show brown"",""details"":""Cut (do not pull) fruit when the skin is glossy and firm. If pressure with a thumbnail shows no resistance, the fruit is overripe — seeds will be brown and flavour bitter. In cool zones harvest promptly at correct size to encourage continued production."",""category"":""harvest""},{""timing"":100,""activity"":""Harvest all before frost"",""details"":""Remove all remaining fruit before first autumn frost. Green eggplant will continue to ripen at room temperature if kept warm. Frost kills plants immediately."",""category"":""harvest""}]",2026-05-20 02:37:16.231057,0.9,Long lead time indoors essential,2026-05-20 05:31:03.999338+00,annual_vegetable,Heat-loving crop — needs even more warmth than tomatoes or capsicum. Harvest while skin is glossy and before seeds develop brown inside.,False
04ee8cab-da2b-4599-8944-c879b08f1199,Sweet Corn,8b,7,75,14,3,"[{""timing"":14,""activity"":""Apply nitrogen at knee height and shoulder height"",""details"":""When corn reaches knee height (30-40cm), apply blood and bone at 100g/m² or pelleted nitrogen fertiliser alongside the row. This is the critical \""knee-high by holiday\"" feed that drives cob development. Repeat at shoulder height."",""category"":""fertilizing""},{""timing"":30,""activity"":""Water at silking"",""details"":""Never allow soil to dry at silking (when the silks emerge from the cob tips). Moisture stress at silking causes unfilled kernels — the single most common cause of poor corn. Daily watering if needed during silk emergence."",""category"":""watering""},{""timing"":60,""activity"":""Check silk browning — harvest test"",""details"":""When silk turns brown and dry, the cobs are approaching maturity. Pull back the husk and pierce a kernel — if milky liquid squirts out, harvest immediately. Clear liquid = too early; no liquid (doughy) = too late. The milky stage lasts only 2-3 days."",""category"":""harvest""},{""timing"":75,""activity"":""Harvest at peak sweetness"",""details"":""Pick at milky stage. Twist and pull downward to detach from the stem. In cool zones, boil or refrigerate within 30 minutes of harvest — sugars convert to starch rapidly after picking. Supersweet varieties are more forgiving."",""category"":""harvest""}]",2026-05-20 02:37:16.231057,0.85,Plant after last frost — October at earliest,2026-05-20 02:37:16.231057+00,annual_vegetable,"Wind-pollinated — plant in blocks (4x4 minimum), not single rows. Milk stage lasts only 2-3 days — harvest at peak sweetness.",False
04f06d10-5267-4477-b376-028ef8809376,Blackberry,12b,30,365,30,3,"[{""timing"":60,""activity"":""Check chill hour accumulation"",""details"":""Adapted for zone 12b (Not suitable). In zone 11a/b, chill hour accumulation determines whether the plant sets fruit. Track minimum overnight temperatures from June-August. Warm winters produce poor crops."",""category"":""planting""},{""timing"":365,""activity"":""Remove old canes after harvest"",""details"":""Adapted for zone 12b (Not suitable). Remove fruited canes. Thin new primocanes to 6-8 per plant — in subtropical zones excess canes compete for the limited chill hours available to each bud."",""category"":""pruning""},{""timing"":400,""activity"":""Harvest early in the day"",""details"":""Adapted for zone 12b (Not suitable). In zone 11 harvest in early morning. Fruit ripens quickly and softens in subtropical heat. Refrigerate immediately after picking."",""category"":""harvest""}]",2026-05-20 05:32:00.021716,0.75,Not suitable,2026-05-20 05:32:00.021716+00,perennial_shrub,"Requires 200-700 chill hours. Grown from canes or root divisions, not seedlings. Fruits on second-year canes (floricanes).",True
05c44def-89ca-4308-9189-8f99c2951270,Turnip,8a,7,50,21,3,"[{""timing"":10,""activity"":""Thin to 10cm — thinnings are edible"",""details"":""Thin at 3-4cm seedling height. Thinnings make excellent salad greens. Crowded turnips produce small deformed roots."",""category"":""planting""},{""timing"":35,""activity"":""Check root size from 35 days"",""details"":""Begin checking by pulling a test root at 35 days. Harvest at 5-7cm diameter — the sweet spot for texture and flavour. Cold temperatures convert turnip starch to sugar (same as parsnip and carrot) — autumn and winter turnips in cool zones are excellent quality."",""category"":""harvest""},{""timing"":50,""activity"":""Harvest before bolting or overgrowth"",""details"":""Do not leave turnips beyond 60-70 days — they become large, hollow and very hot-flavoured. Succession sow every 3 weeks for continuous supply of young, sweet turnips."",""category"":""harvest""}]",2026-05-20 05:30:48.664564,1.05,Excellent cool season root crop — cold sweetens flavour,2026-05-20 05:30:48.664564+00,annual_vegetable,Fast cool-season root crop. Harvest small (5-8cm) — older turnips become pithy and peppery. Leaves are also edible (turnip greens). Frost improves sweetness.,False
065faa65-a822-422b-8a46-0037184db2da,Cumquat,12b,365,730,90,3,"[{""timing"":180,""activity"":""Check for scale insects and sooty mould"",""details"":""Soft scale (brown scale) and Asian citrus psyllid are major pests in warm zones. Apply horticultural oil in winter while fruit is absent. Sooty mould on leaves indicates scale insect presence — treat the scale, not the mould."",""category"":""pest""},{""timing"":365,""activity"":""Prune following harvest completion"",""details"":""Prune to maintain compact shape and remove crossing branches. In tropical zones cumquat can crop twice per year — time pruning for after the main harvest."",""category"":""pruning""}]",2026-05-20 05:32:43.647715,0.95,Productive — monitor for citrus gall wasp and mites,2026-05-20 05:32:43.647715+00,perennial_tree,"Most frost-tolerant citrus. Compact tree suitable for container growing. Self-fruitful. Fruit is eaten whole — skin is sweet, flesh is tart.",False
0689f1db-3fe4-4034-aea0-282e862d6bd4,Papaya,9a,60,270,180,2,"[{""timing"":60,""activity"":""Apply complete fertiliser (1 of 4)"",""details"":""Papaya is a very heavy feeder. Monthly complete fertiliser at 200g per plant is the minimum in cool zones. Include potassium — critical for fruit development."",""category"":""fertilizing""},{""timing"":90,""activity"":""Apply complete fertiliser (2 of 4)"",""details"":""Papaya is a very heavy feeder. Monthly complete fertiliser at 200g per plant is the minimum in cool zones. Include potassium — critical for fruit development."",""category"":""fertilizing""},{""timing"":120,""activity"":""Apply complete fertiliser (3 of 4)"",""details"":""Papaya is a very heavy feeder. Monthly complete fertiliser at 200g per plant is the minimum in cool zones. Include potassium — critical for fruit development."",""category"":""fertilizing""},{""timing"":150,""activity"":""Apply complete fertiliser (4 of 4)"",""details"":""Papaya is a very heavy feeder. Monthly complete fertiliser at 200g per plant is the minimum in cool zones. Include potassium — critical for fruit development."",""category"":""fertilizing""},{""timing"":180,""activity"":""Protect from any frost — critical"",""details"":""Cover or protect any time frost is forecast. Papaya leaves die at 0°C; the growing tip (crown) is killed below -1°C. Loss of the crown kills the tree entirely."",""category"":""planting""},{""timing"":365,""activity"":""Harvest when yellow blush develops"",""details"":""In zone 9b papaya may fruit only in warm years. Harvest when 20-30% of the skin has turned yellow. The fruit continues to ripen at room temperature."",""category"":""harvest""}]",2026-05-20 05:32:46.04727,0.0,Not suitable — frost kills young plants,2026-05-20 05:32:46.04727+00,perennial_tree,"Fast-growing tropical/subtropical tree. Short-lived (3-5 years productive). May include hermaphrodite, male or female plants from seed — hermaphrodite produces best fruit. Water-sensitive — do not waterlog.",True
06d52aaf-ff93-4b38-a9cd-3b18fa973c7e,Cumquat,9a,365,730,90,3,"[{""timing"":365,""activity"":""Prune lightly after harvest"",""details"":""Remove dead wood, crossing branches and any water shoots growing vertically from main scaffold branches. Cumquats fruit on new season wood — some fresh growth is needed annually."",""category"":""pruning""},{""timing"":730,""activity"":""Harvest winter to spring"",""details"":""Cumquats ripen June-October in zones 9-10. The fruit can remain on the tree for months without deteriorating. Harvest by hand — the whole fruit including skin is eaten."",""category"":""harvest""}]",2026-05-20 05:32:42.531889,1.0,Plant in sheltered north-facing position,2026-05-20 05:32:42.531889+00,perennial_tree,"Most frost-tolerant citrus. Compact tree suitable for container growing. Self-fruitful. Fruit is eaten whole — skin is sweet, flesh is tart.",False
